description,attribute,metric,value
State Data,Statewide,Cases,440220
State Data,Statewide,Hospitalizations,24073
State Data,Statewide,Counties,64
State Data,Statewide,People Tested,2633031
State Data,Statewide,Test Encounters,6495184
State Data,Statewide,Deaths Among Cases,6021
State Data,Statewide,Deaths Due to COVID-19,6056
State Data,Statewide,Outbreaks,4057
State Data,Statewide,Rate Per 100000,7637.44
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,A person is counted once in the number of People Tested. A person is counted once each day they are tested in the number of Test Encounters.,NA
State Data,Note,Deaths due to COVID-19: https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,49520
Colorado Case Counts by County,Alamosa County,Cases,1320
Colorado Case Counts by County,Arapahoe County,Cases,49700
Colorado Case Counts by County,Archuleta County,Cases,694
Colorado Case Counts by County,Baca County,Cases,274
Colorado Case Counts by County,Bent County,Cases,1483
Colorado Case Counts by County,Boulder County,Cases,19351
Colorado Case Counts by County,Broomfield County,Cases,3921
Colorado Case Counts by County,Chaffee County,Cases,1473
Colorado Case Counts by County,Cheyenne County,Cases,125
Colorado Case Counts by County,Clear Creek County,Cases,374
Colorado Case Counts by County,Conejos County,Cases,449
Colorado Case Counts by County,Costilla County,Cases,195
Colorado Case Counts by County,Crowley County,Cases,2073
Colorado Case Counts by County,Custer County,Cases,164
Colorado Case Counts by County,Delta County,Cases,2493
Colorado Case Counts by County,Denver County,Cases,61246
Colorado Case Counts by County,Dolores County,Cases,69
Colorado Case Counts by County,Douglas County,Cases,22224
Colorado Case Counts by County,Eagle County,Cases,5323
Colorado Case Counts by County,El Paso County,Cases,53484
Colorado Case Counts by County,Elbert County,Cases,1318
Colorado Case Counts by County,Fremont County,Cases,5534
Colorado Case Counts by County,Garfield County,Cases,5169
Colorado Case Counts by County,Gilpin County,Cases,174
Colorado Case Counts by County,Grand County,Cases,1296
Colorado Case Counts by County,Gunnison County,Cases,1218
Colorado Case Counts by County,Hinsdale County,Cases,16
Colorado Case Counts by County,Huerfano County,Cases,319
Colorado Case Counts by County,International,Cases,53
Colorado Case Counts by County,Jackson County,Cases,52
Colorado Case Counts by County,Jefferson County,Cases,38359
Colorado Case Counts by County,Kiowa County,Cases,91
Colorado Case Counts by County,Kit Carson County,Cases,551
Colorado Case Counts by County,La Plata County,Cases,3103
Colorado Case Counts by County,Lake County,Cases,670
Colorado Case Counts by County,Larimer County,Cases,20798
Colorado Case Counts by County,Las Animas County,Cases,1013
Colorado Case Counts by County,Lincoln County,Cases,1000
Colorado Case Counts by County,Logan County,Cases,3768
Colorado Case Counts by County,Mesa County,Cases,13520
Colorado Case Counts by County,Mineral County,Cases,73
Colorado Case Counts by County,Moffat County,Cases,686
Colorado Case Counts by County,Montezuma County,Cases,1745
Colorado Case Counts by County,Montrose County,Cases,3279
Colorado Case Counts by County,Morgan County,Cases,2466
Colorado Case Counts by County,Otero County,Cases,1870
Colorado Case Counts by County,Ouray County,Cases,263
Colorado Case Counts by County,Park County,Cases,571
Colorado Case Counts by County,Phillips County,Cases,344
Colorado Case Counts by County,Pitkin County,Cases,2123
Colorado Case Counts by County,Prowers County,Cases,1162
Colorado Case Counts by County,Pueblo County,Cases,15279
Colorado Case Counts by County,Rio Blanco County,Cases,491
Colorado Case Counts by County,Rio Grande County,Cases,730
Colorado Case Counts by County,Routt County,Cases,1961
Colorado Case Counts by County,Saguache County,Cases,327
Colorado Case Counts by County,San Juan County,Cases,42
Colorado Case Counts by County,San Miguel County,Cases,833
Colorado Case Counts by County,Sedgwick County,Cases,194
Colorado Case Counts by County,Summit County,Cases,3111
Colorado Case Counts by County,Teller County,Cases,1314
Colorado Case Counts by County,Washington County,Cases,406
Colorado Case Counts by County,Weld County,Cases,26223
Colorado Case Counts by County,Yuma County,Cases,750
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,4.17
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,11.27
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,21.8
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,18.08
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,15.15
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,13.1
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,8.71
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,4.46
COVID-19 in Colorado by Age Group,80+,Percent of Cases,3.22
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.03
COVID-19 in Colorado by Age Group,0-9,Percent of Deaths,0.02
COVID-19 in Colorado by Age Group,10-19,Percent of Deaths,0.13
COVID-19 in Colorado by Age Group,20-29,Percent of Deaths,0.73
COVID-19 in Colorado by Age Group,30-39,Percent of Deaths,0.91
COVID-19 in Colorado by Age Group,40-49,Percent of Deaths,2.51
COVID-19 in Colorado by Age Group,50-59,Percent of Deaths,5.68
COVID-19 in Colorado by Age Group,60-69,Percent of Deaths,12.44
COVID-19 in Colorado by Age Group,70-79,Percent of Deaths,24.08
COVID-19 in Colorado by Age Group,80+,Percent of Deaths,53.5
COVID-19 in Colorado by Age Group,0-9,Percent of Colorado Population,11.61
COVID-19 in Colorado by Age Group,10-19,Percent of Colorado Population,13.01
COVID-19 in Colorado by Age Group,20-29,Percent of Colorado Population,14.66
